dataset,k,L,method,params,tvd,outputsize
lastfm,8,200,rank,"OneBitMinHash(k=8, L=200)", 0.03873568733165009, 76.74
lastfm,8,100,rank,"OneBitMinHash(k=8, L=100)", 0.03961907725517479, 69.14
lastfm,8,300,rank,"OneBitMinHash(k=8, L=300)", 0.04029906538766034, 77.36
lastfm,7,100,rank,"OneBitMinHash(k=7, L=100)", 0.03923421043696362, 75.28
lastfm,6,100,rank,"OneBitMinHash(k=6, L=100)", 0.03876373436047211, 77.46
lastfm,8,200,opt,"OneBitMinHash(k=8, L=200)", 0.03922585099112924, 76.74
lastfm,8,100,opt,"OneBitMinHash(k=8, L=100)", 0.03919551859633935, 69.14
lastfm,8,300,opt,"OneBitMinHash(k=8, L=300)", 0.039371658923888865, 77.36
lastfm,7,100,opt,"OneBitMinHash(k=7, L=100)", 0.038275300697830535, 75.28
lastfm,6,100,opt,"OneBitMinHash(k=6, L=100)", 0.0388137487658214, 77.46
lastfm,8,200,uniform,"OneBitMinHash(k=8, L=200)", 0.23207602831771504, 76.74
lastfm,8,100,uniform,"OneBitMinHash(k=8, L=100)", 0.27183169942678215, 69.14
lastfm,8,300,uniform,"OneBitMinHash(k=8, L=300)", 0.2057885939767352, 77.36
lastfm,7,100,uniform,"OneBitMinHash(k=7, L=100)", 0.23306119294173896, 75.28
lastfm,6,100,uniform,"OneBitMinHash(k=6, L=100)", 0.19438154137029837, 77.46
lastfm,8,200,weighted_uniform,"OneBitMinHash(k=8, L=200)", 0.20147696585462874, 76.74
lastfm,8,100,weighted_uniform,"OneBitMinHash(k=8, L=100)", 0.2271416199419561, 69.14
lastfm,8,300,weighted_uniform,"OneBitMinHash(k=8, L=300)", 0.17769580152509262, 77.36
lastfm,7,100,weighted_uniform,"OneBitMinHash(k=7, L=100)", 0.2064643092721839, 75.28
lastfm,6,100,weighted_uniform,"OneBitMinHash(k=6, L=100)", 0.17360126443824916, 77.46
lastfm,8,200,approx_degree,"OneBitMinHash(k=8, L=200)", 0.05361875694474128, 76.74
lastfm,8,100,approx_degree,"OneBitMinHash(k=8, L=100)", 0.0885454956524457, 69.14
lastfm,8,300,approx_degree,"OneBitMinHash(k=8, L=300)", 0.045473630938822895, 77.36
lastfm,7,100,approx_degree,"OneBitMinHash(k=7, L=100)", 0.06823450804857017, 75.28
lastfm,6,100,approx_degree,"OneBitMinHash(k=6, L=100)", 0.04625724041864971, 77.46
movielens,8,200,rank,"OneBitMinHash(k=8, L=200)", 0.028017102516913805, 11.02
movielens,8,100,rank,"OneBitMinHash(k=8, L=100)", 0.02892887418455884, 10.24
movielens,8,300,rank,"OneBitMinHash(k=8, L=300)", 0.031400360865916715, 11.1
movielens,7,100,rank,"OneBitMinHash(k=7, L=100)", 0.029488459813054427, 10.98
movielens,6,100,rank,"OneBitMinHash(k=6, L=100)", 0.03039709275070143, 11.1
movielens,8,200,opt,"OneBitMinHash(k=8, L=200)", 0.03120853245266204, 11.02
movielens,8,100,opt,"OneBitMinHash(k=8, L=100)", 0.030328504133758715, 10.24
movielens,8,300,opt,"OneBitMinHash(k=8, L=300)", 0.029160057643881316, 11.1
movielens,7,100,opt,"OneBitMinHash(k=7, L=100)", 0.030184555254522523, 10.98
movielens,6,100,opt,"OneBitMinHash(k=6, L=100)", 0.031282883086359396, 11.1
movielens,8,200,uniform,"OneBitMinHash(k=8, L=200)", 0.1821940757553488, 11.02
movielens,8,100,uniform,"OneBitMinHash(k=8, L=100)", 0.2028435418096098, 10.24
movielens,8,300,uniform,"OneBitMinHash(k=8, L=300)", 0.14714415825840127, 11.1
movielens,7,100,uniform,"OneBitMinHash(k=7, L=100)", 0.17532454922474766, 10.98
movielens,6,100,uniform,"OneBitMinHash(k=6, L=100)", 0.15409161150785358, 11.1
movielens,8,200,weighted_uniform,"OneBitMinHash(k=8, L=200)", 0.1372222676798199, 11.02
movielens,8,100,weighted_uniform,"OneBitMinHash(k=8, L=100)", 0.16307539421437134, 10.24
movielens,8,300,weighted_uniform,"OneBitMinHash(k=8, L=300)", 0.11339755546687097, 11.1
movielens,7,100,weighted_uniform,"OneBitMinHash(k=7, L=100)", 0.14183965477326774, 10.98
movielens,6,100,weighted_uniform,"OneBitMinHash(k=6, L=100)", 0.12325484965791189, 11.1
movielens,8,200,approx_degree,"OneBitMinHash(k=8, L=200)", 0.03644623169536958, 11.02
