dataset,k,L,method,params,tvd,outputsize
lastfm,10,100,opt,"OneBitMinHash(k=10, L=100)", 0.01259396353934692, 281.4
lastfm,10,200,opt,"OneBitMinHash(k=10, L=200)", 0.012616870526473098, 496.28
lastfm,11,100,opt,"OneBitMinHash(k=11, L=100)", 0.012370415639808818, 155.14
lastfm,10,500,opt,"OneBitMinHash(k=10, L=500)", 0.012575029850505747, 922.92
lastfm,12,100,opt,"OneBitMinHash(k=12, L=100)", 0.012451747909893422, 93.7
lastfm,11,500,opt,"OneBitMinHash(k=11, L=500)", 0.012660175454895284, 592.0
lastfm,12,500,opt,"OneBitMinHash(k=12, L=500)", 0.012528437667523772, 375.2
lastfm,11,200,opt,"OneBitMinHash(k=11, L=200)", 0.012722416959534757, 300.76
lastfm,12,200,opt,"OneBitMinHash(k=12, L=200)", 0.012608274417561738, 183.24
lastfm,10,100,approx_degree,"OneBitMinHash(k=10, L=100)", 0.07349908389091925, 281.56
lastfm,10,200,approx_degree,"OneBitMinHash(k=10, L=200)", 0.08406493073005855, 500.1
lastfm,11,100,approx_degree,"OneBitMinHash(k=11, L=100)", 0.06730004523782979, 159.44
lastfm,10,500,approx_degree,"OneBitMinHash(k=10, L=500)", 0.10035603341430238, 920.52
lastfm,12,100,approx_degree,"OneBitMinHash(k=12, L=100)", 0.06864340740773653, 90.52
lastfm,11,500,approx_degree,"OneBitMinHash(k=11, L=500)", 0.08946331409242733, 603.0
lastfm,12,500,approx_degree,"OneBitMinHash(k=12, L=500)", 0.08031172908742856, 376.36
lastfm,11,200,approx_degree,"OneBitMinHash(k=11, L=200)", 0.07502620811390175, 295.94
lastfm,12,200,approx_degree,"OneBitMinHash(k=12, L=200)", 0.07405456724574169, 179.66
lastfm,10,100,rank,"OneBitMinHash(k=10, L=100)", 0.012649587869251242, 281.4
lastfm,10,200,rank,"OneBitMinHash(k=10, L=200)", 0.0125584465358685, 496.28
lastfm,11,100,rank,"OneBitMinHash(k=11, L=100)", 0.012625186829234138, 155.14
lastfm,10,500,rank,"OneBitMinHash(k=10, L=500)", 0.012568464015846194, 922.92
lastfm,12,100,rank,"OneBitMinHash(k=12, L=100)", 0.012589718771625655, 93.7
lastfm,11,500,rank,"OneBitMinHash(k=11, L=500)", 0.01257399369187302, 592.0
lastfm,12,500,rank,"OneBitMinHash(k=12, L=500)", 0.012599001285104456, 375.2
lastfm,11,200,rank,"OneBitMinHash(k=11, L=200)", 0.012735571238456932, 300.76
lastfm,12,200,rank,"OneBitMinHash(k=12, L=200)", 0.01260973275107766, 183.24
lastfm,10,100,weighted_uniform,"OneBitMinHash(k=10, L=100)", 0.13172800981506444, 281.4
lastfm,10,200,weighted_uniform,"OneBitMinHash(k=10, L=200)", 0.19804668428008831, 496.28
lastfm,11,100,weighted_uniform,"OneBitMinHash(k=11, L=100)", 0.08605518574005798, 155.14
lastfm,10,500,weighted_uniform,"OneBitMinHash(k=10, L=500)", 0.2714994924273089, 922.92
lastfm,12,100,weighted_uniform,"OneBitMinHash(k=12, L=100)", 0.07150939477301527, 93.7
lastfm,11,500,weighted_uniform,"OneBitMinHash(k=11, L=500)", 0.23551051244349197, 592.0
lastfm,12,500,weighted_uniform,"OneBitMinHash(k=12, L=500)", 0.19678514833311098, 375.2
lastfm,11,200,weighted_uniform,"OneBitMinHash(k=11, L=200)", 0.1549384592323511, 300.76
lastfm,12,200,weighted_uniform,"OneBitMinHash(k=12, L=200)", 0.11986719256227094, 183.24
lastfm,10,100,uniform,"OneBitMinHash(k=10, L=100)", 0.2854963820938252, 281.4
lastfm,10,200,uniform,"OneBitMinHash(k=10, L=200)", 0.29334847012411513, 496.28
lastfm,11,100,uniform,"OneBitMinHash(k=11, L=100)", 0.26683997276398663, 155.14
lastfm,10,500,uniform,"OneBitMinHash(k=10, L=500)", 0.31156126382572485, 922.92
lastfm,12,100,uniform,"OneBitMinHash(k=12, L=100)", 0.262150089740569, 93.7
lastfm,11,500,uniform,"OneBitMinHash(k=11, L=500)", 0.3011334932945917, 592.0
lastfm,12,500,uniform,"OneBitMinHash(k=12, L=500)", 0.2737031126703935, 375.2
lastfm,11,200,uniform,"OneBitMinHash(k=11, L=200)", 0.2783242923212211, 300.76
lastfm,12,200,uniform,"OneBitMinHash(k=12, L=200)", 0.2663595441047675, 183.24
mnist-784-euclidean,8,500,opt,"E2LSH(k=8, L=500, w=1500)", 0.012575761526047032, 215.28
mnist-784-euclidean,12,500,opt,"E2LSH(k=12, L=500, w=1500)", 0.010691130392156866, 22.78
mnist-784-euclidean,12,200,opt,"E2LSH(k=12, L=200, w=1500)", 0.01150454769371142, 11.78
mnist-784-euclidean,14,500,opt,"E2LSH(k=14, L=500, w=1500)", 0.011715121443808032, 12.72
mnist-784-euclidean,12,1000,opt,"E2LSH(k=12, L=1000, w=1500)", 0.01141636380226577, 34.44
mnist-784-euclidean,10,500,opt,"E2LSH(k=10, L=500, w=1500)", 0.012078906981886487, 49.48
mnist-784-euclidean,14,100,opt,"E2LSH(k=14, L=100, w=1500)", 0.010579428571428568, 5.36
mnist-784-euclidean,10,100,opt,"E2LSH(k=10, L=100, w=1500)", 0.011222174477269718, 19.36
mnist-784-euclidean,12,100,opt,"E2LSH(k=12, L=100, w=1500)", 0.012273180952380952, 10.14
mnist-784-euclidean,14,200,opt,"E2LSH(k=14, L=200, w=1500)", 0.011018814585483316, 8.08
mnist-784-euclidean,8,1000,opt,"E2LSH(k=8, L=1000, w=1500)", 0.012493619379951462, 339.5
mnist-784-euclidean,8,100,opt,"E2LSH(k=8, L=100, w=1500)", 0.012408533918609427, 63.0
mnist-784-euclidean,14,1000,opt,"E2LSH(k=14, L=1000, w=1500)", 0.010872506986186107, 14.82
mnist-784-euclidean,10,1000,opt,"E2LSH(k=10, L=1000, w=1500)", 0.012539525396909992, 86.76
mnist-784-euclidean,8,200,opt,"E2LSH(k=8, L=200, w=1500)", 0.012361808362667578, 104.06
mnist-784-euclidean,10,200,opt,"E2LSH(k=10, L=200, w=1500)", 0.01224204520300369, 29.18
mnist-784-euclidean,8,500,approx_degree,"E2LSH(k=8, L=500, w=1500)", 0.07461493879609507, 215.28
mnist-784-euclidean,12,500,approx_degree,"E2LSH(k=12, L=500, w=1500)", 0.042108585340802994, 22.78
